path	hits	statuscodes	mimetypes
/	86	200,301,404	text/html
/+nhp+	1	404	text/html
/10-things-might-not-know-great-danes	1	200	text/html
/10001-2	1	200	text/html
/2001Donations.html	1	200	text/html
/2001Donationsx.html	1	200	text/html
/2009ComedyNight.html	1	301	text/html
/2010CalendarWinners.html	1	200	text/html
/2010ComedyNight.html	1	200	text/html
/2014-2016-adoptions	1	200	text/html
/2014-successful-dog-adoptions	1	200	text/html
/2015-adoptions	1	301	text/html
/2015-great-dane-calendar	1	200	text/html
/2016-adoptions	1	200	text/html
/2016-great-dane-calendar	1	200	text/html
/2017-adoptions	1	200	text/html
/2017-calendar	1	200	text/html
/2018-adoptions	1	200	text/html
/2018-calendars	1	200	text/html
/2019-adoptions	1	200	text/html
/2019-calendars	1	200	text/html
/2020-adoptions	1	200	text/html
/2020-dane-calendar	1	200	text/html
/2020-successes	1	200	text/html
/2021-adoptions	1	200	text/html
/2021-archie-has-a-home	1	200	text/html
/2021-athena-has-a-home	1	200	text/html
/2021-auggie-has-a-home	1	200	text/html
/2021-axel-black-has-a-home	1	200	text/html
/2021-axel-blue-has-a-home	1	200	text/html
/2021-binky-has-a-home	1	200	text/html
/2021-buddy-has-a-home	1	200	text/html
/2021-calliope-has-a-home	1	200	text/html
/2021-cara-has-a-home	1	200	text/html
/2021-dane-calendar	1	200	text/html
/2021-diego-now-dex-has-a-home	1	200	text/html
/2021-duke-has-a-home-2	1	200	text/html
/2021-frank-has-a-home	1	200	text/html
/2021-gary-has-a-home	1	200	text/html
/2021-gracie-has-a-home	1	200	text/html
/2021-harley-zeus-have-a-home	1	200	text/html
/2021-lucy-has-a-home	1	200	text/html
/2021-maia-has-a-home	1	200	text/html
/2021-max-has-a-home	1	200	text/html
/2021-maxine-has-a-home	1	200	text/html
/2021-minerva-has-a-home	1	200	text/html
/2021-nelli-has-a-home	1	200	text/html
/2021-odysseus-has-a-home	1	200	text/html
/2021-orion-has-a-home	1	200	text/html
/2021-samson-has-a-home-2	1	200	text/html
/2021-sparky-has-a-home	1	200	text/html
/2021-successes	1	200	text/html
/2021-swisher-has-a-home	1	200	text/html
/2021-teagan-has-a-home	1	200	text/html
/2021-thor-has-a-home	1	200	text/html
/2021-titan-has-a-home	1	200	text/html
/2021-wilson-has-a-home	1	200	text/html
/2021-zhara-has-a-home	1	200	text/html
/2022-Bella-has-a-home	1	200	text/html
/2022-apollo-has-a-home	1	200	text/html
/2022-athena-has-a-home	1	200	text/html
/2022-athena-has-a-home-2	1	200	text/html
/2022-atlas-has-a-home	1	200	text/html
/2022-brandi-has-a-home	1	200	text/html
/2022-brooke-has-a-home	1	200	text/html
/2022-bruce-has-a-home	1	200	text/html
/2022-charlie-has-a-home	1	200	text/html
/2022-daisy-has-a-home	1	200	text/html
/2022-diesel-has-a-home-fawn	1	200	text/html
/2022-dixie-has-a-home	1	200	text/html
/2022-dozer-has-a-home	1	200	text/html
/2022-duke-black-has-a-home	1	200	text/html
/2022-duke-fawnequin--has-a-home	1	200	text/html
/2022-duke-fawnequin-has-a-home	1	200	text/html
/2022-duncan-has-a-home	1	200	text/html
/2022-ella-has-a-home	1	200	text/html
/2022-fats-has-a-home	1	200	text/html
/2022-gabby-has-a-home	1	200	text/html
/2022-george-has-a-home	1	200	text/html
/2022-gypsy-rose-has-a-home	1	200	text/html
/2022-iris-has-a-home	1	200	text/html
/2022-jack-has-a-home	1	200	text/html
/2022-juniper-has-a-home	1	200	text/html
/2022-khan-has-a-home	1	200	text/html
/2022-kingsley-has-a-home	1	200	text/html
/2022-lilo-has-a-home	1	200	text/html
/2022-lilo-has-a-home-	1	200	text/html
/2022-lucy-has-a-home	1	200	text/html
/2022-lucy-has-a-home-2	1	200	text/html
/2022-luna-has-a-home	1	200	text/html
/2022-max-has-a-home	1	200	text/html
/2022-max-has-a-home-2	1	200	text/html
/2022-mera-has-a-home	1	200	text/html
/2022-mimi-has-a-home	1	200	text/html
/2022-nike-has-a-home	1	200	text/html
/2022-ocean-has-a-home	1	200	text/html
/2022-penelope-has-a-home	1	200	text/html
/2022-penelope-has-a-home-2	1	200	text/html
/2022-phoebe-has-a-home	1	200	text/html
/2022-poppy-has-a-home	1	200	text/html
/2022-siren-has-a-home	1	200	text/html
/2022-snoop-has-a-home	1	200	text/html
/2022-snoop-has-a-home-	1	200	text/html
/2022-stitch-has-a-home	1	200	text/html
/2022-successes	1	200	text/html
/2022-tigs-has-a-home	1	200	text/html
/2023-antero-has-a-home	1	200	text/html
/2023-athena-has-a-home	1	200	text/html
/2023-babe-has-a-home	1	200	text/html
/2023-bently-has-a-home	1	200	text/html
/2023-blew-has-a-home	1	200	text/html
/2023-blue-has-a-home	1	200	text/html
/2023-bohdi-has-a-home	1	200	text/html
/2023-brady-has-a-home	1	200	text/html
/2023-bruno-harl-has-a-home	1	200	text/html
/2023-buck-has-a-home	1	200	text/html
/2023-cambria-has-a-home	1	200	text/html
/2023-casper-has-a-home	1	200	text/html
/2023-charlee-has-a-home	1	200	text/html
/2023-charlee-has-a-home-2	1	200	text/html
/2023-dakota-has-a-home	1	200	text/html
/2023-declan-has-a-home	1	200	text/html
/2023-drago-has-a-home	1	200	text/html
/2023-duke-has-a-home	1	200	text/html
/2023-finlee-has-a-home	1	200	text/html
/2023-fiona-has-a-home	1	200	text/html
/2023-indie-has-a-home	1	200	text/html
/2023-kane-has-a-home	1	200	text/html
/2023-kingston-has-a-home	1	200	text/html
/2023-lucy-has-a-home	1	200	text/html
/2023-luna-has-a-home	1	200	text/html
/2023-maggie-has-a-home	1	200	text/html
/2023-manitou-has-a-home	1	200	text/html
/2023-olive-has-a-home	1	200	text/html
/2023-orvis-has-a-home	1	200	text/html
/2023-pharaoh-has-a-home	1	200	text/html
/2023-pumpkin-has-a-home	1	200	text/html
/2023-rocky-has-a-home	1	200	text/html
/2023-romeo-has-a-home	1	200	text/html
/2023-rosie-has-a-home	1	200	text/html
/2023-salida-has-a-home	1	200	text/html
/2023-sam-has-a-home	1	200	text/html
/2023-simba-has-a-home	1	200	text/html
/2023-successes	1	200	text/html
/2023-titan-has-a-home	1	200	text/html
/2023-tobias-has-a-home	1	200	text/html
/2023-toni-has-a-home	1	200	text/html
/2023-waunita-has-a-home	1	200	text/html
/2023-willie-has-a-home	1	200	text/html
