group	path
plain_lowercase_slug	/abby
plain_lowercase_slug	/ace
plain_lowercase_slug	/ada
plain_lowercase_slug	/adoption-information-2
plain_lowercase_slug	/ajax
plain_lowercase_slug	/angel
plain_lowercase_slug	/angus
plain_lowercase_slug	/annabelle
plain_lowercase_slug	/antero
plain_lowercase_slug	/aoife
plain_lowercase_slug	/apollo
plain_lowercase_slug	/apollo-dane-foster-needed
plain_lowercase_slug	/app-thank-you
plain_lowercase_slug	/aries
plain_lowercase_slug	/arlo
plain_lowercase_slug	/asa
plain_lowercase_slug	/asher
plain_lowercase_slug	/ashley
plain_lowercase_slug	/astro
plain_lowercase_slug	/athena
plain_lowercase_slug	/athena-baby
plain_lowercase_slug	/athena-harl
plain_lowercase_slug	/atlas
plain_lowercase_slug	/auggie
plain_lowercase_slug	/ava
plain_lowercase_slug	/available-great-danes
plain_lowercase_slug	/available-great-danes-2
plain_lowercase_slug	/axel
plain_lowercase_slug	/babe
plain_lowercase_slug	/bailey
plain_lowercase_slug	/baloo
plain_lowercase_slug	/barnabus
plain_lowercase_slug	/beau
plain_lowercase_slug	/bee
plain_lowercase_slug	/bela
plain_lowercase_slug	/bella
plain_lowercase_slug	/belle
plain_lowercase_slug	/benefit-wines
plain_lowercase_slug	/benson-foster-needed
plain_lowercase_slug	/bentley
plain_lowercase_slug	/bently
plain_lowercase_slug	/bigmac
plain_lowercase_slug	/binky
plain_lowercase_slug	/blu
plain_lowercase_slug	/blue
plain_lowercase_slug	/blue-harlequin
plain_lowercase_slug	/bo
plain_lowercase_slug	/bodhi
plain_lowercase_slug	/bolt
plain_lowercase_slug	/bones
plain_lowercase_slug	/bonnie
plain_lowercase_slug	/boomer
plain_lowercase_slug	/brady
plain_lowercase_slug	/brandi
plain_lowercase_slug	/bristol
plain_lowercase_slug	/brodey
plain_lowercase_slug	/brooklyn
plain_lowercase_slug	/bruce
plain_lowercase_slug	/bruno
plain_lowercase_slug	/bruno-mantle
plain_lowercase_slug	/brutus
plain_lowercase_slug	/bubas
plain_lowercase_slug	/buck
plain_lowercase_slug	/buddy
plain_lowercase_slug	/bullwinkle
plain_lowercase_slug	/bunker
plain_lowercase_slug	/butter-braids
plain_lowercase_slug	/butter-braids-denver
plain_lowercase_slug	/butter-braids-utah
plain_lowercase_slug	/cabo
plain_lowercase_slug	/calcifer
plain_lowercase_slug	/cambria
plain_lowercase_slug	/cara
plain_lowercase_slug	/carl
plain_lowercase_slug	/cash
plain_lowercase_slug	/casper
plain_lowercase_slug	/cezar
plain_lowercase_slug	/charlee
plain_lowercase_slug	/charlie
plain_lowercase_slug	/chaz
plain_lowercase_slug	/chester
plain_lowercase_slug	/chevelle
plain_lowercase_slug	/chevy
plain_lowercase_slug	/chimayo
plain_lowercase_slug	/claire
plain_lowercase_slug	/cleo
plain_lowercase_slug	/clyde
plain_lowercase_slug	/coco
plain_lowercase_slug	/coffee-bean
plain_lowercase_slug	/contact-us
plain_lowercase_slug	/cooper
plain_lowercase_slug	/covid-19-operational-information
plain_lowercase_slug	/cowboy
plain_lowercase_slug	/crockette
plain_lowercase_slug	/daisy
plain_lowercase_slug	/daisy-
plain_lowercase_slug	/daisy-harlequin
plain_lowercase_slug	/daisy-may
plain_lowercase_slug	/dakota
plain_lowercase_slug	/dan
plain_lowercase_slug	/dane-related-links
plain_lowercase_slug	/dante
plain_lowercase_slug	/daytona
plain_lowercase_slug	/destination
plain_lowercase_slug	/diego
plain_lowercase_slug	/diesel
plain_lowercase_slug	/donut
plain_lowercase_slug	/dozer
plain_lowercase_slug	/drago
plain_lowercase_slug	/drakeo
plain_lowercase_slug	/duke
plain_lowercase_slug	/duncan
plain_lowercase_slug	/dutch
plain_lowercase_slug	/ebony
plain_lowercase_slug	/echo
plain_lowercase_slug	/ella
plain_lowercase_slug	/elvis
plain_lowercase_slug	/emma
plain_lowercase_slug	/erza
plain_lowercase_slug	/estrella
plain_lowercase_slug	/ev
plain_lowercase_slug	/events-2
plain_lowercase_slug	/feya
plain_lowercase_slug	/fiona
plain_lowercase_slug	/flo
plain_lowercase_slug	/flower-power
plain_lowercase_slug	/flowerpower
plain_lowercase_slug	/foster-information
plain_lowercase_slug	/francine
plain_lowercase_slug	/freya
plain_lowercase_slug	/fundraising
plain_lowercase_slug	/gabby
plain_lowercase_slug	/george
plain_lowercase_slug	/gigi
plain_lowercase_slug	/gorn
plain_lowercase_slug	/grace
plain_lowercase_slug	/great-dane-health-resources
plain_lowercase_slug	/great-dane-rescues
plain_lowercase_slug	/groot
plain_lowercase_slug	/gumby
plain_lowercase_slug	/gunnar
plain_lowercase_slug	/gus
plain_lowercase_slug	/gypsy-rose
plain_lowercase_slug	/haley
plain_lowercase_slug	/hank
plain_lowercase_slug	/harlem
plain_lowercase_slug	/harley
plain_lowercase_slug	/harley-2
plain_lowercase_slug	/harlow
plain_lowercase_slug	/harper-mantle
plain_lowercase_slug	/harvey
plain_lowercase_slug	/haus
plain_lowercase_slug	/hela
plain_lowercase_slug	/hennessey
plain_lowercase_slug	/hercules
plain_lowercase_slug	/hilary
plain_lowercase_slug	/hobo
plain_lowercase_slug	/holly
plain_lowercase_slug	/horsey
plain_lowercase_slug	/hugo
plain_lowercase_slug	/ichabod
plain_lowercase_slug	/idaho-events
plain_lowercase_slug	/igive
plain_lowercase_slug	/in-memory-of-sarge
plain_lowercase_slug	/in-memory-of-waldo
plain_lowercase_slug	/italics
plain_lowercase_slug	/italics-tally
plain_lowercase_slug	/its-all-about-the-dogs
plain_lowercase_slug	/itsybitsy
plain_lowercase_slug	/izzy
plain_lowercase_slug	/jagger
plain_lowercase_slug	/jax
plain_lowercase_slug	/journey
plain_lowercase_slug	/jumbo
plain_lowercase_slug	/junior
plain_lowercase_slug	/juniper
plain_lowercase_slug	/kahlan
plain_lowercase_slug	/kai
plain_lowercase_slug	/kali
plain_lowercase_slug	/kane
plain_lowercase_slug	/kara
plain_lowercase_slug	/kevin
plain_lowercase_slug	/khaleesi
plain_lowercase_slug	/khan
plain_lowercase_slug	/kilo
plain_lowercase_slug	/king-louie
plain_lowercase_slug	/kingston
plain_lowercase_slug	/kinnick
plain_lowercase_slug	/kiva
plain_lowercase_slug	/kona
plain_lowercase_slug	/korben
plain_lowercase_slug	/kratos
plain_lowercase_slug	/kujo
plain_lowercase_slug	/kumo
plain_lowercase_slug	/kweli
plain_lowercase_slug	/kylo
plain_lowercase_slug	/lachlan
plain_lowercase_slug	/lady
plain_lowercase_slug	/layla
plain_lowercase_slug	/leia
plain_lowercase_slug	/leila
plain_lowercase_slug	/leo
plain_lowercase_slug	/leonidas
